Grid1,A*,0.0016,4.82842712474619
Grid1,T*,0.0010,4.60555127546399
Grid2,A*,0.0067,25.071067811865476
Grid2,T*,0.0042,23.54965676435193
Grid3,A*,0.0093,43.41421356237309
Grid3,T*,0.0078,43.01612483854164
Grid4,A*,0.0224,54.69848480983496
Grid4,T*,0.0239,50.89134475861892
Grid5,A*,0.0130,32.72792206135786
Grid5,T*,0.0072,30.366185880679375
Grid6,A*,0.0145,33.627416997969526
Grid6,T*,0.0068,31.532388092056493
Grid7,A*,0.0088,48.556349186104015
Grid7,T*,0.0183,45.70131871201588
Grid8,A*,0.0168,33.041630560342625
Grid8,T*,0.0057,31.10697777248315
Grid9,A*,0.0266,100.79898987322329
Grid9,T*,0.0845,96.36711459801401
Grid10,A*,0.0127,48.828427124746185
Grid10,T*,0.0153,48.24621125123532
Grid11,A*,0.0235,63.15432893255067
Grid11,T*,0.0447,61.379721420763985
Grid12,A*,0.0101,33.65685424949238
Grid12,T*,0.0086,32.386402169229854
Grid13,A*,0.0084,65.5979797464466
Grid13,T*,0.0267,61.094866427498985
Grid14,A*,0.0074,33.55634918610404
Grid14,T*,0.0072,31.290827741489146
Grid15,A*,0.0022,15.55634918610405
Grid15,T*,0.0024,15.556349186104045
Grid16,A*,0.0209,77.11269837220803
Grid16,T*,0.0499,71.8500159960779
Grid17,A*,0.0017,5.82842712474619
Grid17,T*,0.0010,5.385164807134504
Grid18,A*,0.0015,3.0
Grid18,T*,0.0009,3.0
Grid19,A*,0.0078,29.82842712474619
Grid19,T*,0.0109,29.47213595499958
Grid20,A*,0.0117,37.698484809834994
Grid20,T*,0.0126,35.88418296094516
Grid21,A*,0.0145,39.284271247461895
Grid21,T*,0.0122,37.05628822740217
Grid22,A*,0.0255,72.42640687119278
Grid22,T*,0.0241,67.29897931598705
Grid23,A*,0.0059,26.899494936611667
Grid23,T*,0.0051,25.098635693702988
Grid24,A*,0.0124,44.45584412271569
Grid24,T*,0.0114,41.32300238955378
Grid25,A*,0.0438,46.24264068711928
Grid25,T*,0.0708,45.24828759089466
Grid26,A*,0.0016,6.414213562373095
Grid26,T*,0.0014,6.414213562373095
Grid27,A*,0.0012,1.0
Grid27,T*,0.0007,1.0
Grid28,A*,0.0282,79.07106781186546
Grid28,T*,0.0432,77.60056548885183
Grid29,A*,0.0115,71.01219330881969
Grid29,T*,0.0293,66.14692755295681
Grid30,A*,0.0026,13.82842712474619
Grid30,T*,0.0026,13.21215328128927
Grid31,A*,0.0042,27.48528137423857
Grid31,T*,0.0086,26.018578024025416
Grid32,A*,0.0101,40.55634918610403
Grid32,T*,0.0129,37.95614142382743
Grid33,A*,0.0213,62.65685424949237
Grid33,T*,0.0384,61.29033486360676
Grid34,A*,0.0127,44.14213562373095
Grid34,T*,0.0140,41.303155553384514
Grid35,A*,0.0205,94.31370849898474
Grid35,T*,0.0606,91.74346066654832
Grid36,A*,0.0099,33.798989873223334
Grid36,T*,0.0059,31.33228553913993
Grid37,A*,0.0248,73.87005768508878
Grid37,T*,0.0326,68.83291558771427
Grid38,A*,0.0026,13.82842712474619
Grid38,T*,0.0028,13.47213595499958
Grid39,A*,0.0137,40.62741699796952
Grid39,T*,0.0187,37.86196597951464
Grid40,A*,0.0351,62.6690475583121
Grid40,T*,0.0399,59.30925625805088
Grid41,A*,0.0097,26.62741699796953
Grid41,T*,0.0087,25.813427817970602
Grid42,A*,0.0089,47.556349186104015
Grid42,T*,0.0171,44.543566478621266
Grid43,A*,0.0362,77.74011537017753
Grid43,T*,0.0684,73.3349747039216
Grid44,A*,0.0212,37.79898987322333
Grid44,T*,0.0135,35.1146624358711
Grid45,A*,0.0133,33.48528137423857
Grid45,T*,0.0071,31.63872260490469
Grid46,A*,0.0047,22.414213562373096
Grid46,T*,0.0055,22.162277660168378
Grid47,A*,0.0242,100.35533905932733
Grid47,T*,0.0660,93.62371542782526
Grid48,A*,0.0047,24.62741699796953
Grid48,T*,0.0035,24.08318915758459
Grid49,A*,0.0192,45.941125496954264
Grid49,T*,0.0089,43.39168655261497
Grid50,A*,0.0120,30.142135623730955
Grid50,T*,0.0080,27.8846987659714
Total,40.1745
